Name of the food,image,calories,Personal Points,summary,The recipe Key
Chicken Divan,https://www.skinnytaste.com/wp-content/uploads/2010/12/Lightened-Up-Chicken-Divan-8.jpg,387 kcal,5,"This lightened up Chicken Divan made from scratch with no canned soups. Just layers of tender chicken breast and broccoli in a flavorful creamy, cheese sauce topped with golden breadcrumbs.",FM GF HP KF
Air Fryer Breaded Cubed Steak,https://www.skinnytaste.com/wp-content/uploads/2023/02/Air-Fryer-Breaded-Cubed-Steak-11.jpg,328 kcal,6,"This breaded cubed steak recipe (bistec empanizado) is a Puerto Rican staple, and making it in the air fryer is easy and healthier!",AF DF HP Q
Chicken Tenders Parmesan,https://www.skinnytaste.com/wp-content/uploads/2023/02/Chicken-Fingers-Parmesan-Casserole-10.jpg,376 kcal,6,"Quick and easy to prepare, this Baked Chicken Tenderloin Parmesan is a family-friendly weeknight dish, prepared with just a handful of simple ingredients. One of my all-time favorite chicken tenderloin recipes!",HP KF
High Protein Egg White Muffins with Turkey Bacon,https://www.skinnytaste.com/wp-content/uploads/2023/02/Egg-White-Muffins-with-Turkey-Bacon-Cottage-Cheese-and-Veggies-8.jpg,144 kcal,2,"Meal prep these delicious, high-protein Egg White Muffins with turkey bacon, cottage cheese, and veggies for a quick breakfast on the go!",GF HP LC MP
Chocolate Brownie Date Balls,https://www.skinnytaste.com/wp-content/uploads/2023/02/Chocolate-Brownie-Date-Balls-8.jpg,153 kcal,5,"These Chocolate Date Balls are perfect when you need that sweet chocolate fix. Made with Medjool dates, pumpkin, and cocoa powder they’re rich, sweet, and offer a great afternoon energy boost. No-bake and easy to prepare!",DF GF Q V
Baked Buffalo Chicken Jalapeño Poppers,https://www.skinnytaste.com/wp-content/uploads/2014/01/Baked-Buffalo-Chicken-Jalapeno-Poppers-7.jpg,92 kcal,3,I love jalapeño poppers AND buffalo chicken so I decided to combine them both and really spice things up!,GF
"Buffalo Chicken Lettuce Wraps (Slow Cooker, Instant Pot)",https://www.skinnytaste.com/wp-content/uploads/2012/04/Crockpot-Buffalo-Chicken-Lettuce-Wraps-3.jpg,147.5 kcal,0,"Buffalo Chicken Lettuce Wraps, delicious, low-carb lettuce wraps topped with shredded carrots, celery and my homemade light blue cheese dressing.",DF GF LC PC SC W
Air Fryer Egg Salad,https://www.skinnytaste.com/wp-content/uploads/2023/01/Air-Fryer-Egg-Salad-5.jpg,237 kcal,4,"The air fryer is not a way you would think to make egg salad, but that’s how I do it! It’s so easy to make hard boil eggs in the air fryer – you don’t even have to add water!",AF DF GF LC Q V
Stuffed Buffalo Chicken Breasts,https://www.skinnytaste.com/wp-content/uploads/2012/07/Stuffed-Buffalo-Chicken-Breasts-6.jpg,172 kcal,4,"Buffalo Stuffed Chicken Breasts are filled with cheese, shredded carrots, and minced celery, and then rolled, breaded, baked, and drizzled with hot sauce. Sound enticing? It should be – this is good stuff!",FM GF
5-Minute Microwave Salmon Rice Bowl with Bok Choy,https://www.skinnytaste.com/wp-content/uploads/2023/02/5-Minute-Glazed-Salmon-Rice-Bowl-13.jpg,533 kcal,5,"If you don’t have time to cook, you’ll love this 5-minute Salmon Rice Bowl with Bok Choy made in the microwave!",DF GF HP HF Q
Pasta Fagioli (Pasta and Beans),https://www.skinnytaste.com/wp-content/uploads/2008/12/Pasta-Fagioli-7.jpg,262.5 kcal,4,"Italian Pasta Fagioli (Pasta and Beans) is a great tasting, hearty, vegetarian pasta and bean soup – the perfect vegetarian dinner for a cold night.",DF FM GF HF KF PC Q V
Raw Beet Salad with Apples and Carrots,https://www.skinnytaste.com/wp-content/uploads/2023/02/Raw-Beet-Salad-6.jpg,112 kcal,2,"Crunchy, bright and sweet, the healthy Raw Beet Salad with Apples and Carrots is a delicious way to eat beets! Just 5 ingredients not counting salt.",DF GF KF Q V
Teriyaki Shrimp Quinoa Bowls with Mango-Cucumber Salsa,https://www.skinnytaste.com/wp-content/uploads/2023/01/Teriyaki-Shrimp-Quinoa-Bowls-with-Mango-Cucumber-Salsa-5.jpg,352 kcal,6,"These fresh and delicious Teriyaki Shrimp Quinoa Bowls seasoned with honey, ginger, and soy sauce are topped with avocado and a Mango-Cucumber Salsa.",DF GF HP HF
Black Beans and Rice,https://www.skinnytaste.com/wp-content/uploads/2023/01/Rice-and-Black-Beans-8.jpg,236 kcal,6,"This quick and easy recipe for Black Beans and Rice is delicious! Made with sofrito, canned black beans and long-grain rice.",DF FM GF KF V
Tortilla Encrusted Chicken Tenders,https://www.skinnytaste.com/wp-content/uploads/2016/10/Tortilla-Encrusted-Chicken-Tenders-6.jpg,331 kcal,4,"Tortilla Encrusted Chicken Tenders coated with seasoned crushed tortilla chips and served with salsa. An easy, family weeknight dish!",DF GF KF Q
Air Fryer Breakfast Banana Split,https://www.skinnytaste.com/wp-content/uploads/2023/01/Air-Fryer-Breakfast-Banana-Split-5.jpg,286 kcal,5,"If you need a quick and healthy breakfast, you’ll love this six-minute Air Fryer Breakfast Banana Split!",AF KF Q
Red Thai Coconut Curry Shrimp,https://www.skinnytaste.com/wp-content/uploads/2023/01/Thai-Coconut-Curry-Shrimp-6.jpg,136 kcal,2,"If you love Thai food, you’ll love this easy Red Thai Coconut Curry Shrimp, the perfect balance of sweet, spicy and savory flavors!",DF GF LC
Ground Turkey Skillet with Sweet Potatoes and Black Bean,https://www.skinnytaste.com/wp-content/uploads/2023/01/Ground-Turkey-Skillet-with-Sweet-Potatoes-and-Black-Beans-6.jpg,394 kcal,8,"This quick and easy Ground Turkey Skillet with sweet potatoes, black beans, corn, and tomatoes is perfect for meal prep. So filling and flavorful!",DF GF HP HF MP
Avgolemono Chicken and Rice Soup,https://www.skinnytaste.com/wp-content/uploads/2023/01/Avgolemono-Soup-8-1.jpg,265 kcal,6,"You’ll love this delicious, silky Greek Avgolemono soup filled with chicken, rice and dill with a lemon-egg sauce. Delish!",DF GF HP KF Q
Pavlova,https://www.skinnytaste.com/wp-content/uploads/2011/01/Strawberry-Kiwi-Pavlova_14.jpg,221.5 kcal,11,"Pavlova is an elegant yet light dessert made with whipped egg whites and sugar, then topped with cream and fresh fruit. It’s almost too pretty to eat, but it’s easier to make than you think!",GF
Broccoli Salad,https://www.skinnytaste.com/wp-content/uploads/2023/01/Broccoli-Salad-7.jpg,171 kcal,5,"Delicious Broccoli Salad made with bacon, sunflower seeds, red onion, and goat cheese mixed with a creamy Greek yogurt-mayo sauce. So good!",GF LC MP Q
Juicy Oven Baked Chicken Breast,https://www.skinnytaste.com/wp-content/uploads/2022/01/Baked-Chicken-Breast-with-Panko-Parmesan-Crumb-Topping-5-1.jpg,271 kcal,3,"This perfect, juicy oven Baked Chicken Breast recipe is topped with crispy panko-parmesan crumbs, so flavorful and delicious!",GF HP KF
Breaded Shrimp,https://www.skinnytaste.com/wp-content/uploads/2011/09/Shrimp-Parmigiana-Hero-4.jpg,149 kcal,2,"Delicious and healthy baked breaded shrimp, coated with seasoned breadcrumbs, panko and grated cheese, then baked until golden.",GF KF Q
Spicy Vodka Chicken Parmesan,https://www.skinnytaste.com/wp-content/uploads/2022/12/Spicy-Vodka-Chicken-Parmesan-6.jpg,386 kcal,6,"This easy Chicken Parmesan with Vodka Sauce is made with sliced jarred hot cherry peppers, vodka sauce, fresh mozzarella, and breaded chicken cutlets. Baked or air fryer!",AF HP Q
Green Bean Casserole,https://www.skinnytaste.com/wp-content/uploads/2012/11/Lightened-Up-Green-Bean-Casserole-5.jpg,160 kcal,4,"This Green Bean Casserole From Scratch features fresh green beans, cremini mushrooms, shallots, and grated parmesan for a savory side dish that’s crunchy and creamy at the same time. The perfect addition to your holiday dinner table!",KF V
Instant Pot Bolognese Sauce,https://www.skinnytaste.com/wp-content/uploads/2017/11/instant-pot-bolognese-1-11.jpg,191 kcal,8,"Make the best Instant Pot bolognese sauce in one hour! This classic pasta sauce is so easy to make in the pressure cooker, full of savory beef and tender veggies with the creamiest texture.",FM GF HP KF LC PC
Blackened Air Fryer Salmon Bites,https://www.skinnytaste.com/wp-content/uploads/2022/10/Blackended-Air-Fryer-Salmon-Bites-11-copy.jpg,251 kcal,0,"These 10-minute Blackened Air Fryer Salmon Bites are great on top of a salad, served with rice or your favorite grain, or in a bowl with veggies and sauce.",AF DF GF HP LC Q W
Mexican Layer Dip,https://www.skinnytaste.com/wp-content/uploads/2022/10/Mexican-Layer-Dip-10-scaled.jpg,173 kcal,4,"This cheesy, Baked Mexican Layer Dip is made with taco-seasoned ground turkey, re-fried beans, salsa, green chilies, tomatoes, cheese and avocado. It’s so good!",GF KF Q
Potato Leek Soup,https://www.skinnytaste.com/wp-content/uploads/2018/10/POTATO-LEEK-SOUP2.-5-2.jpg,133 kcal,3,"Cozy and comforting, this Potato Leek Soup recipe combines potatoes, leeks and broth for a simple homemade soup the whole family will love!",FM GF KF Q V
Whole Wheat Pumpkin Pancakes with Pecans,https://www.skinnytaste.com/wp-content/uploads/2013/10/Whole-Wheat-Pumpkin-Pecan-Pancakes-5.jpg,234 kcal,7,"Made with whole wheat flour, pumpkin puree, pumpkin pie spice, and pecans, these Pumpkin Pancakes are soft, fluffy, and filled with fall flavor. A quick and easy breakfast and the leftovers freeze well too.",KF Q V
Peanut Butter Banana Muffins,https://www.skinnytaste.com/wp-content/uploads/2022/09/peanut-butter-banana-muffins-8.jpg,192 kcal,6,"Peanut Butter Banana Muffins are proof that banana bread and peanut butter go together really well! Stuffed with extra peanut butter in the center, they are SO good!",FM V
Apple and Grape Fall Fruit Salad,https://www.skinnytaste.com/wp-content/uploads/2011/09/Autumn-Apple-and-Grape-Medley-4.jpg,209 kcal,6,"This fall fruit salad is made with sweet, crunchy apples and grapes in a creamy yogurt and cream cheese sauce topped with crushed walnuts and brown sugar.",GF KF Q V
Pumpkin Cream Cheese Muffins,https://www.skinnytaste.com/wp-content/uploads/2019/10/Pumpkin-Cream-Cheese-Muffins-5-1.jpg,170 kcal,8,"Pumpkin Cream Cheese Muffins are moist and perfectly spiced! A delicious fall breakfast made with canned pumpkin, pumpkin spice, and a cream cheese swirl topping.",FM KF V
Raspberry Coconut Chia Pudding Popsicles,https://www.skinnytaste.com/wp-content/uploads/2012/08/Raspberry-Coconut-Chia-Pudding-Pops-_FINAL06.jpg,74 kcal,2,"These easy chia pudding popsicles with coconut and raspberries are perfect as a healthy snack or dessert, even breakfast on a hot summer morning!",DF FM GF LC V
Tuna Tartare,https://www.skinnytaste.com/wp-content/uploads/2022/08/Tuna-Tartare-with-Cucumber-6-1.jpg,114 kcal,1,"Tuna tartare may sound fancy, but it’s really easy to make! Combine fresh sushi grade tuna, cucumber, avocado, scallions, and the sauce ingredients and serve with baked wonton chips.",DF GF LC Q W
Pollo Sabroso (Broiled or Grilled),https://www.skinnytaste.com/wp-content/uploads/2010/06/Pollo-Sabroso-6.jpg,181 kcal,5,My family’s favorite chicken recipe is this Broiled or Grilled Pollo Sabroso seasoned with Latin flavors to create the most delicious grilled chicken thighs.,DF GF KF LC W
String Beans with Garlic and Oil,https://www.skinnytaste.com/wp-content/uploads/2009/05/String-Beans-with-Garlic-and-Oil-5.jpg,99 kcal,2,"This garlic green bean recipe is a quick, healthy side dish for all you garlic lovers.",GF KF LC Q V
Instant Pot Baked Oatmeal Bars,https://www.skinnytaste.com/wp-content/uploads/2022/05/Instant-Pot-Banana-Bread-Oatmeal-Bars-10.jpg,266 kcal,5,"Banana bread oatmeal in the Instant Pot? Yes! With this Instant Pot Baked Oatmeal Bars recipe, you can make oatmeal breakfast bars with just a few minutes of hands-on time. They’re a delicious breakfast/brunch or dessert, and perfect for meal prep!",DF GF HF MP PC V
"Instant Pot Risotto with Prosciutto, Peas, and Herbs",https://www.skinnytaste.com/wp-content/uploads/2022/04/Instant-Pot-Prosciutto-Pea-and-Herb-Risotto-6-1.jpg,329 kcal,10,"This Instant Pot Risotto recipe is the quickest, easiest way to make risotto. It ends up perfectly creamy every time and it’s ready in just 20 minutes.",GF PC Q
Sloppy Joe Recipe,https://www.skinnytaste.com/wp-content/uploads/2010/10/Skinny-Sloppy-Joe_s-9.jpg,122 kcal,4,"This delicious Sloppy Joe recipe is family-friendly, made with ground beef and some hidden minced veggies – great for those picky eaters!",DF GF KF MP Q
Meal Prep Breakfast Taco Scramble,"data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%20550%20825'%3E%3C/svg%3E",450 kcal,5,"A healthy Meal Prep Breakfast Taco Scramble, made with potatoes, turkey taco meat, scrambled eggs and salsa (cheese is optional!), perfect to make ahead for breakfast for the week!",FM GF KF MP W
Jalapeno Poppers,https://www.skinnytaste.com/wp-content/uploads/2011/01/Skinny-Baked-Jalapeno-Poppers-5.jpg,52 kcal,1,"With football season approaching, these lightened-up, baked Jalapeno Poppers will make the perfect party appetizer or snack. Spicy and delicious!",LC V
Perfect Baked Potato,https://www.skinnytaste.com/wp-content/uploads/2022/01/Perfect-Baked-Potato-8-1.jpg,157 kcal,4,"This perfect baked potato recipe is simple to prepare in the oven, with crispy skin and fluffy interiors. Just add your favorite toppings and enjoy!",DF GF V
Instant Pot Salsa Chicken,https://www.skinnytaste.com/wp-content/uploads/2016/01/InstantPoteasyshreddedsalsachicken-4.jpg,125 kcal,0,"Instant Pot salsa chicken is the easiest Instant Pot recipe ever! All you need is two ingredients: salsa and chicken breasts. Make flavorful and juicy pressure cooker shredded chicken to use in tacos, rice bowls, enchiladas, and more.",DF FM GF KF LC PC Q W
Instant Pot Mashed Potatoes,https://www.skinnytaste.com/wp-content/uploads/2018/01/Instant-Pot-Mashed-Potatoes-1-5.jpg,142 kcal,6,"Rich and creamy Instant Pot mashed potatoes are easy to make in a fraction of the time it takes on the stovetop! These fluffy and flavorful mashed potatoes are ready in 20 minutes, perfect to serve as a healthy vegetable side.",GF KF PC Q V
Chicken Piccata,https://www.skinnytaste.com/wp-content/uploads/2022/01/Chicken-Piccata-8.jpg,262 kcal,4,Chicken Piccata is an Italian dish of pounded chicken breast in a lemon-wine-butter sauce with capers and parsley. Make it in the skillet or air fryer!,AF GF KF Q
Chicken Cassoulet,https://www.skinnytaste.com/wp-content/uploads/2021/11/Chicken-Sausage-Swiss-Chard-Cassoulet-6.jpg,417 kcal,8,"This chicken cassoulet is an easy take on the French classic, prepared with succulent chicken, Swiss chard, white beans, and chicken sausage!",DF FM GF HF
"Quick Beef Chili Recipe (Stove, Slow Cooker or Instant Pot)",https://www.skinnytaste.com/wp-content/uploads/2017/10/Instant-Pot-Beef-and-Beer-Chili-1-6.jpg,312 kcal,5,"Made with both ground beef and beans, plus canned tomatoes and tomato sauce, and a homemade blend of chili seasonings, this is truly the Best Chili Recipe! Hearty, filling, and ready in under an hour, you can make this easy beef chili in the slow cooker or Instant Pot or on the stovetop.",DF FM GF HF KF MP PC SC Q
Drunken Noodles,https://www.skinnytaste.com/wp-content/uploads/2021/10/Drunken-Style-Noodles-with-Shrimp-9.jpg,487 kcal,9,"Spicy, savory, and slightly sweet, these Drunken Noodles with Shrimp are inspired by the popular Thai street food pad kee mao.",DF GF HP
Huevos Rancheros,https://www.skinnytaste.com/wp-content/uploads/2021/10/Huevos-Rancheros-5.jpg,414 kcal,5,"Huevos rancheros (or rancher’s eggs) are a typical breakfast served at Mexican farms, featuring corn tortillas topped with fried eggs and salsa.",GF HF Q V
Chicken Cacciatore,https://www.skinnytaste.com/wp-content/uploads/2008/06/Chicken-Cacciatore-3.jpg,288 kcal,7,Chicken Cacciatore is a rustic Italian chicken dish made with bell peppers and mushrooms simmered in tomato sauce.,FM HF KF
Strawberry Scones,https://www.skinnytaste.com/wp-content/uploads/2010/06/Low-Fat-Strawberry-Scones-8.jpg,201 kcal,8,This easy strawberry scones recipe makes moist and tender scones studded with fresh strawberry pieces. They’re a wonderful breakfast treat and a delicious way to use up fresh strawberries!,KF MP
Chicken and Broccoli Recipe,https://www.skinnytaste.com/wp-content/uploads/2018/05/Chicken-and-Broccoli-Stir-Fry-3.jpg,249 kcal,4,This Chicken and Broccoli recipe is made with strips of chicken and broccoli in a ginger-garlic stir-fry sauce that’s easy and delicious!,DF GF HP KF LC Q
Ambrosia Fruit Salad,https://www.skinnytaste.com/wp-content/uploads/2021/05/ambrosia-salad-09.jpg,163 kcal,6,"With a variety of fresh fruit, whipped cream, walnuts, and marshmallows, Ambrosia Fruit Salad is ready in minutes. The perfect summer dessert to bring to your next potluck!",GF KF Q
Air Fryer Chicken Nuggets,https://www.skinnytaste.com/wp-content/uploads/2018/01/Air-Fryer-Chicken-Nuggets-1-6.jpg,188 kcal,3,"Homemade Air Fryer Chicken Nuggets made with boneless skinless chicken breasts coated in breadcrumbs, pankp and Parmesan cheese then air fried until crisp, golden and delicious!",AF KF Q
Pumpkin Pistachio Energy Balls,https://www.skinnytaste.com/wp-content/uploads/2020/11/Pumpkin-Pistachio-Energy-Balls-6.jpg,138 kcal,4,"Made with cashews, pistachios, dates, pumpkin and spices, these no-bake Pumpkin Pistachio Energy Balls literally taste like little bites of pumpkin pie",DF KF Q V
Honeynut Squash Recipe with Maple and Pecans,"data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%20550%20825'%3E%3C/svg%3E",205 kcal,4,This Roasted Roasted Honeynut Squash recipe with Maple and Pecans is the perfect fall side dish! Sweeter and smaller than butternut and so much quicker to make.,GF HF KF V
Skinny Pumpkin Snickerdoodles,https://www.skinnytaste.com/wp-content/uploads/2013/09/Skinny-Pumpkin-Spiced-Snickerdoodles-6.jpg,51 kcal,3,A simple sugar cookie dough is rolled in sugar and pumpkin pie spice to make these soft and chewy Pumpkin Snickerdoodles. They require just 10 minutes of chill time and 5 minutes in the oven!,KF
Lemon Blueberry Buttermilk Sheet Pan Pancakes,https://www.skinnytaste.com/wp-content/uploads/2020/09/Lemon-Blueberry-Buttermilk-Sheet-Pancakes-3.jpg,214 kcal,7,"This sheet pan pancakes recipe makes it simple to cook up pancakes for a crowd. Flavored with lemon and blueberries, this is essentially a giant pancake baked in the oven. A genius way of making pancakes!",KF MP Q V
Peach Blueberry Crisp,https://www.skinnytaste.com/wp-content/uploads/2009/08/Blueberry-Peach-Crisp-7.jpg,203 kcal,9,"This Blueberry Peach Crisp is a wonderful summer dessert loaded with fruit, and a lightly sweetened crisp oat topping.",DF GF KF V
The Best Baba Ganoush,https://www.skinnytaste.com/wp-content/uploads/2020/07/Baba-Ghanoush-6-1.jpg,140 kcal,3,"This authentic Baba Ganoush recipe is a smoky Middle Eastern eggplant dip made with charred eggplant, tahini, lemon juice, and olive oil.",DF GF V W
Stuffed Zucchini with Sausage,https://www.skinnytaste.com/wp-content/uploads/2015/06/Sausage-stuffed-zucchini-boats.jpg,153 kcal,7,"These are the best Stuffed Zucchini Boats filled with Italian chicken sausage, marinara sauce and mozzarella cheese. Perfect for summer zucchini!",GF KF LC
Beef and Broccoli Recipe,https://www.skinnytaste.com/wp-content/uploads/2020/06/Beef-Broccoli-1-1.jpg,315 kcal,7,This Beef and Broccoli recipe satisfies my craving for Chinese takeout but with less oil and sugar than what you’ll find at most restaurants.,DF GF HF KF Q
Lightened Up Blueberry Scones,https://www.skinnytaste.com/wp-content/uploads/2008/12/Blueberry-Scones-6.jpg,216 kcal,9,"This easy blueberry scones recipe is the perfect Sunday morning treat with a hot cup of tea. Made with buttermilk, vanilla and fresh blueberries, these scones are tender and flavorful.",KF
Instant Pot Refried Beans,https://www.skinnytaste.com/wp-content/uploads/2018/10/Instant-Pot-Not-Fried-Pinto-Beans-Finals-9.jpg,50 kcal,0,"These Instant Pot Refried Beans are a simple, healthy, and fat-free version of the classic Mexican side dish. No oil or lard required! Enjoy as a dip, side dish, or topping on your favorite Mexican and Tex-Mex dishes.",DF GF HF KF PC V
Healthy Baked Macaroni and Cheese,https://www.skinnytaste.com/wp-content/uploads/2010/05/Lighter-Baked-Macaroni-and-Cheese-7.jpg,261 kcal,10,This healthy mac and cheese recipe is a lighter version of the classic recipe with added fiber from spinach. It’s the ultimate comfort food!,FM HF KF V
Chocolate Chip Cloud Cookies,https://www.skinnytaste.com/wp-content/uploads/2013/12/Chocolate-Chip-Clouds-10.jpg,54 kcal,3,"These cloud cookies are light and airy, slightly chewy with chocolate chips in every bite! Made airy with egg whites, sugar and chocolate, these gluten free meringues just melt in your mouth.",GF
Healthy Breakfast Casserole with Spinach and Feta,https://www.skinnytaste.com/wp-content/uploads/2019/12/Feta-Breakfast-Bake-9.jpg,296 kcal,6,"This healthy Breakfast Casserole recipe is made with eggs, spinach, tomatoes and Feta cheese and only takes a few minutes to whip up. You can make it ahead of time, so it’s the perfect breakfast egg casserole for Christmas morning or any day!",GF
Pumpkin Butter,https://www.skinnytaste.com/wp-content/uploads/2010/10/pumpkin-butter-1.jpg,42 kcal,2,"Pumpkin lovers will love this easy, pumpkin butter recipe made from scratch. It’s like pumpkin pie in a jar, only better! Delicious smeared on toast, oatmeal, yogurt, and more!",DF FM GF KF Q V
Spaghetti Carbonara,https://www.skinnytaste.com/wp-content/uploads/2019/10/Spaghetti-Carbonara-8.jpg,422 kcal,11,"With pasta tossed with diced bacon, grated cheese, and copious amounts of black pepper and topped with a poached egg, this Spaghetti Carbonara recipe is smooth and creamy with incredible flavor. Though simple to make, it tastes and looks like something straight from an Italian restaurant.",GF KF Q
Instant Pot Indian Chicken Pulao,https://www.skinnytaste.com/wp-content/uploads/2019/09/Instant-Pot-Indian-Chicken-Pulao-4-1.jpg,396 kcal,7,"Instant Pot Chicken Pulao comes together in just 30 minutes, with basmati rice, chicken breasts, and a few aromatics and spices. The perfect introduction to Indian cuisine!",GF PC Q
Pumpkin Roll,https://www.skinnytaste.com/wp-content/uploads/2011/11/Pumpkin-Roll-7.jpg,198 kcal,9,This classic pumpkin roll recipe features an irresistible pumpkin spice sponge cake with a tangy cream cheese filling. Perfect for Thanksgiving and Christmas!,V
Air Fryer Scallops with Bacon,https://www.skinnytaste.com/wp-content/uploads/2019/09/Air-Fryer-Bacon-Wrapped-Scallops-7-1.jpg,138 kcal,2,"Air Fryer Scallops with Bacon are so easy, made with just two ingredients! Elegant enough to impress guests yet easy enough to make any weeknight for your family.",AF DF GF KF LC Q W
Caprese Salad,https://www.skinnytaste.com/wp-content/uploads/2019/09/Insalata-Caprese-2.jpg,100 kcal,4,"Caprese Salad or Insalata Caprese is a simple summer salad with fresh mozzarella, thick slices of juicy tomatoes, basil and a splash of balsamic vinegar. Serve it as an appetizer, side dish, or just make it a meal!",GF KF LC Q V
How To Make Perfect Instant Pot Quinoa,https://www.skinnytaste.com/wp-content/uploads/2019/08/How-To-Make-Perfect-Quinoa-in-the-Instant-Pot-7.jpg,81 kcal,3,"Learn how to make perfect, fluffy Instant Pot quinoa using my foolproof method! This healthy grain is an easy addition to loads of meals, and it’s ready in minutes in the pressure cooker.",DF GF PC Q V
Chicken Chimichangas,https://www.skinnytaste.com/wp-content/uploads/2019/06/Chicken-Chimichangas-09.jpg,391 kcal,7,"Crispy chicken chimichangas (air fryer or baked) are a healthier twist on the Tex-Mex favorite! They’re filled with cheese, green chiles, and seasoned shredded chicken, then topped with fresh pico de gallo.",AF HF KF
Chickpea Salad with Cucumbers and Tomatoes,https://www.skinnytaste.com/wp-content/uploads/2019/06/Chickpea-Salad-3.jpg,182 kcal,1,"This healthy, summer Chickpea Salad with cucumbers and tomatoes is great for lunch or as a side dish with anything you’re grilling!",DF GF HF Q V
Air Fryer Chicken Breast,https://www.skinnytaste.com/wp-content/uploads/2019/06/How-To-Make-Juicy-Air-Fryer-Chicken-Breasts-8.jpg,208 kcal,0,This foolproof recipe for making boneless air fryer chicken breast will give you perfectly juicy chicken every time.,AF DF GF KF LC MP W
Air Fryer Hard Boiled Eggs,https://www.skinnytaste.com/wp-content/uploads/2019/05/Air-Fryer-Hard-Boiled-Eggs-13.jpg,78 kcal,0,"Making hard boiled eggs in the air fryer is so quick and easy, no water needed! It’s the only way I cook eggs now!",AF DF GF KF LC Q V W
Chicken Parmesan Lasagna,https://www.skinnytaste.com/wp-content/uploads/2019/03/Chicken-Parmesan-Lasagna-2-2.jpg,454 kcal,9,This easy Chicken Parmesan Lasagna is a combination of two classic dishes. It’s the perfect family-friendly dish to feed a large crowd!,FM GF KF
Hard Boiled Eggs,https://www.skinnytaste.com/wp-content/uploads/2017/04/Perfect-Instant-Pot-Eggs-1-2.jpg,77 kcal,0,"If you want to know how to hard boil eggs, this foolproof stove top method has you covered. It makes perfect hard boiled eggs every time!",DF GF KF LC Q W
Instant Pot Corned Beef and Cabbage,https://www.skinnytaste.com/wp-content/uploads/2019/02/Instant-Pot-Corned-Beef-_-Cabbage-4-1.jpg,359.5 kcal,6,"This easy Instant Pot Corned Beef and Cabbage recipe comes out perfectly tender every time! Made with corned beef brisket, cabbage, and carrots, it’s the perfect St. Patrick’s Day dinner.",FM GF HF KF LC PC W
Instant Pot Chicken Taco Chili,https://www.skinnytaste.com/wp-content/uploads/2019/02/Instant-Pot-Chicken-Taco-Chili-1-2.jpg,211 kcal,0,"This Instant Pot Chicken Chili is made with chicken, beans, corn, tomatoes, and taco seasoning for a hearty, flavorful, and healthy dinner. This easy taco chili comes together in just over 30 minutes, perfect for busy weeknights!",DF FM GF HF KF PC
